Year,Inbound,Outbound
1956,63807,55718
1957,62843,57916
1958,71616,65379
1959,81345,72181
1960,109989,95291
1961,126255,114564
1962,145749,130400
1963,180295,155187
1964,225260,193619
1965,272430,238420
1966,292916,267810
1967,358489,327227
1968,422842,372677
1969,482660,434746
1970,581733,542264
1971,675301,637232
1972,812968,794242
1973,994239,955945
1974,1199843,1114346
1975,1287407,1267398
1976,1480361,1438349
1977,1515703,1430473
1978,1637408,1573782
1979,1925307,1842669
1980,2117702,2002474
1981,2155890,2034949
1982,2234697,2123243
1983,2140196,2099452
1984,2379028,2335529
1985,2646731,2553642
1986,2973834,2844603
1987,3436278,3278154
1988,3955119,3811663
1989,4015692,3915411
1990,4303048,4219177
1991,4354044,4298533
1992,4670465,4637463
1993,5127845,5050440
1994,5591850,5521750
1995,6081266,5981942
1996,6691018,6576169
1997,7074238,7000617
1998,7153314,7083991
1999,7542323,7444240
2000,8264740,8222934
2001,8449152,8350563
2002,8371767,8310606
2003,8263130,8187601
2004,9707573,9663477
2005,10503173,10375226
2006,10842804,10644280
2007,11476806,11298873
2008,11886410,11585620
2009,12307119,12099781
2010,13429400,13360915
2011,14151843,14003166
2012,14913333,14695659
2013,15781860,15562656
2014,16645812,16487276
2015,17517506,17349143
2016,18913689,18703064
2017,19931301,19684406
2018,20889591,20685722
2019,21350917,21157538
2020,4827135,4475069
